bead_id,title,status_in_beads,dependency_summary,acceptance_criteria_summary,files_checked,implementation_verdict,evidence,tests_covering_it,follow_up_needed
sam-739.1,Scaffold Python backend package and dependencies,closed,parent-child:sam-739,pyproject contains required runtime and dev dependencies. | Package/module layout matches architecture docs. | Backend can be imported and started without runtime errors.,backend/pyproject.toml; backend/samantha/__init__.py; backend/samantha/main.py,Verified complete,"Python package scaffold, runtime dependencies, entrypoint, and imports are present and pass scaffold tests.",backend/tests/test_scaffold.py,No
sam-739.2,"Define repository structure contracts for backend, app, docs, scripts, tests",closed,parent-child:sam-739; blocks:sam-739.1,Directory contract is reflected in docs and created in repo. | Ownership boundaries are clear by path. | New contributors can locate entrypoints quickly.,AGENTS.md; docs/architecture.md; app/Samantha/*,Implemented differently than specified,"Docs/AGENTS describe an Xcode project and additional app files, but the checked-in tree only contains Swift source files and no Xcode project or app test target.",backend/tests/test_structure.py,Yes - align docs/contracts with the actual app tree or restore the missing project files.
sam-739.3,Implement shared configuration schema and defaults,closed,parent-child:sam-739; blocks:sam-739.1,Config file path and schema are documented. | Invalid config fails fast with clear errors. | Defaults support local development without manual edits.,backend/samantha/config.py,Verified complete,"Config dataclass, validation, persistence, defaults, and storage path helpers are implemented and covered by tests.",backend/tests/test_config.py,No
sam-739.4,Create development bootstrap script and health checks,closed,parent-child:sam-739; blocks:sam-739.1; blocks:sam-739.3,Script starts required local components in correct order. | Health checks report actionable failures. | Script output is concise and reproducible.,scripts/dev.sh,Partially complete,"Bootstrap script exists and now reports dependency health correctly, but it only validates backend components and does not verify realtime connectivity or any Swift-side prerequisites.",backend/tests/test_structure.py; scripts/dev.sh,Yes - extend health checks or narrow the documented scope to backend-only bootstrap.
sam-739.5,"Establish linting, formatting, and test command baseline",closed,parent-child:sam-739; blocks:sam-739.1,Standard commands are documented and runnable locally. | CI-ready command set is defined. | No ambiguity on formatter/linter ownership.,backend/pyproject.toml; scripts/dev.sh,Partially complete,"Backend lint/test commands are explicit and pass, but there is no checked-in Swift command baseline because no project/workspace is present.",backend/tests/test_scaffold.py; backend/tests/test_structure.py; ruff check; pytest -q,Yes - add and document the Swift quality gate commands once the project is checked in.
sam-c3h,Delegated Reasoning with GPT-5 Mini,closed,blocks:sam-lfi,Delegation is callable by the voice flow. | Delegated outputs are summarized for speech. | Timeouts/failures degrade gracefully.,backend/samantha/tools.py; backend/samantha/prompts.py; backend/samantha/agents.py,Partially complete,"Delegation tooling and prompt policy exist and the live API smoke test passed, but there is no verified realtime voice loop that actually invokes delegation during speech.",backend/tests/test_tools.py; backend/tests/test_prompts.py; backend/tests/test_e2e.py::test_delegation_smoke,Yes - verify delegation inside the real voice session once the IPC/realtime loop exists.
sam-c3h.1,Implement reason_deeply tool adapter for gpt-5-mini-2025-08-07,closed,parent-child:sam-c3h; blocks:sam-lfi.1,"Tool invokes target model successfully. | Input/output schema is explicit and validated. | Errors return safe, user-readable fallback text.",backend/samantha/tools.py,Verified complete,reason_deeply creates a specialist Agent on gpt-5-mini-2025-08-07 and returns condensed output.,backend/tests/test_tools.py; backend/tests/test_e2e.py::test_delegation_smoke,No
sam-c3h.2,Define delegation routing policy for realtime agent,closed,parent-child:sam-c3h; blocks:sam-c3h.1,Policy rules are deterministic and documented. | Low-latency requests avoid unnecessary delegation. | Complex reasoning reliably triggers delegation.,backend/samantha/prompts.py,Verified complete,SYSTEM_PROMPT explicitly defines when to use reason_deeply and when to answer directly.,backend/tests/test_prompts.py,No
sam-c3h.3,Implement delegated-result condensation for voice output,closed,parent-child:sam-c3h; blocks:sam-c3h.1; blocks:sam-c3h.2,Spoken summaries are concise and actionable. | Critical details are retained. | Summary style matches Samantha persona constraints.,backend/samantha/tools.py,Verified complete,condense_for_voice strips markdown and truncates delegation output for spoken delivery.,backend/tests/test_tools.py,No
sam-c3h.4,"Add delegation timeout, retry, and fallback behavior",closed,parent-child:sam-c3h; blocks:sam-c3h.1,Timeouts are enforced with clear thresholds. | Retry policy avoids runaway loops. | Failures degrade to safe assistant messaging.,backend/samantha/tools.py,Verified complete,"Delegation retries, timeout handling, and fallback behavior are implemented and covered by tests.",backend/tests/test_tools.py,No
sam-c3h.5,"Instrument delegation latency, cost, and failure telemetry",closed,parent-child:sam-c3h; blocks:sam-c3h.1,Metrics emitted for every delegated call. | Logs include correlation identifiers. | Data supports optimization decisions.,backend/samantha/tools.py,Verified complete,"Delegation logs now include correlation ID, model, duration, token usage, estimated cost for `gpt-5-mini*`, and explicit timeout/error categories.",backend/tests/test_tools.py,No
sam-deo,"QA, Packaging, and Release",open,blocks:sam-0up; blocks:sam-c3h; blocks:sam-xrl,"Critical backend and integration tests exist. | App bundle strategy is implemented and documented. | Release checklist covers signing, notarization, and rollout.",backend/tests/*; app/Samantha/*; scripts/dev.sh,Partially complete,"Backend quality gates and tests are strong, but Swift tests, packaging, release docs, and runtime bundling are still missing.",ruff check; pytest -q; pytest -m e2e; scripts/dev.sh,Yes - finish the open release tasks before treating the repo as release-ready.
sam-deo.1,"Add backend unit tests for tools, memory, and realtime helpers",closed,parent-child:sam-deo; blocks:sam-igp.1; blocks:sam-igp.2; blocks:sam-igp.3; blocks:sam-igp.4; blocks:sam-lfi.1; blocks:sam-xrl.2; blocks:sam-xrl.3; blocks:sam-xrl.4; blocks:sam-xrl.5,Critical backend modules have unit test coverage. | Tests run quickly in local development. | Failures pinpoint component-level regressions.,backend/tests/*,Verified complete,"The backend has broad unit coverage across tools, memory, config, prompts, events, runtime/session helpers, storage, and websocket behavior, and the post-fix suite passes.",280-test pytest suite,No
sam-deo.10,Audit follow-up: check in a buildable Swift project/workspace and restore app verification,open,parent-child:sam-deo; discovered-from:sam-deo.8,"Audit found Swift source files but no checked-in .xcodeproj, .xcworkspace, Package.swift, or Swift test target. The app cannot be built or verified from the repo as checked in, despite closed Swift Beads work.",app/; docs/architecture.md; AGENTS.md,Not found,Created by the audit to track the missing checked-in Swift project/workspace and lost app build verification path.,None yet,Yes - restore the app project and build/test path.
sam-deo.11,Audit follow-up: wire daily log append and promotion hooks into conversation flow,closed,parent-child:sam-deo; discovered-from:sam-deo.8,"Audit found daily_log_append, daily_log_search, and promote_to_memory helpers, but no runtime code automatically appends every turn or runs promotion hooks as the closed memory task described.",backend/samantha/memory.py; backend/samantha/tools.py; backend/samantha/main.py; backend/samantha/runtime.py,Verified complete,"The live runtime now appends parseable JSON daily-log entries for every final conversation turn and records explicit `memory_save` promotion signals.",backend/tests/test_runtime.py; backend/tests/test_memory.py,No
sam-deo.12,Audit follow-up: formalize web_search response contract or narrow the acceptance criteria,open,parent-child:sam-deo; discovered-from:sam-deo.8,"Audit found that web_search works and passed live smoke tests, but it returns a free-form string rather than the normalized structured response described by the closed tools task.",backend/samantha/tools.py,Not found,Created by the audit to track the mismatch between the closed web_search task and the current free-form return format.,None yet,Yes - formalize the contract or narrow the task expectation.
sam-deo.13,Audit follow-up: implement an explicit destructive-action approval flow,closed,parent-child:sam-deo; discovered-from:sam-deo.8,"Audit found that destructive tools expose needs_approval, but the repo does not implement an explicit approve/reject interaction or audit trail despite the closed confirmation workflow task.",backend/samantha/tools.py; backend/samantha/runtime.py; backend/samantha/ws_server.py,Verified complete,"The backend now emits `tool_approval_required`, accepts `approve_tool_call` / `reject_tool_call`, and logs approval decisions for an audit trail.",backend/tests/test_tools.py; backend/tests/test_ws_server.py; backend/tests/test_runtime.py,Yes - wire the Swift approval UI when the macOS client exists.
sam-deo.14,Audit follow-up: capture delegation token and cost telemetry,closed,parent-child:sam-deo; discovered-from:sam-deo.8,"Audit found delegation correlation IDs and duration logs, but no token or cost telemetry despite the closed delegation telemetry task.",backend/samantha/tools.py,Verified complete,"`reason_deeply` now logs token usage, estimated cost, response IDs, and explicit failure categories alongside the existing correlation ID and duration fields.",backend/tests/test_tools.py,No
sam-deo.15,Audit follow-up: verify AppleScript MCP end-to-end on macOS,open,parent-child:sam-deo; discovered-from:sam-deo.8,Audit could only unit-test MCP creation and agent wiring under mocked macOS gating. Live AppleScript MCP connection and tool discovery still need real macOS verification.,backend/samantha/mcp_integration.py; backend/samantha/main.py,Not found,Created by the audit to track required live macOS MCP verification that could not be performed in this Linux environment.,None yet,Yes - verify MCP end to end on macOS.
sam-deo.2,Add integration tests for interruption and delegation flows,open,blocks:sam-0up.5; blocks:sam-c3h.4; parent-child:sam-deo; blocks:sam-xrl.7,Interruption scenarios are covered end-to-end. | Delegation success/failure paths are tested. | Test results are stable across repeated runs.,backend/tests/test_e2e.py; backend/tests/test_interruption.py; backend/tests/test_runtime.py; backend/tests/test_tools.py,Partially complete,"Integration tests now cover backend init, websocket flow, runtime interruption wiring, live delegation/web search smoke, and a live realtime-session smoke test, but not a full realistic conversation/delegation fallback path through the eventual macOS client.",backend/tests/test_e2e.py; backend/tests/test_runtime.py; pytest -m e2e,Yes - add a fuller end-to-end interruption/delegation flow once the app-side client exists.
sam-deo.3,"Add Swift-side behavior tests for audio, websocket, and state flow",open,blocks:sam-0up.2; blocks:sam-0up.5; parent-child:sam-deo; blocks:sam-pjm.5,Core Swift managers have focused tests. | State transitions are asserted under edge conditions. | Failures are reproducible with deterministic fixtures.,app/Samantha/*,Not found,"No Swift-side tests are checked into the repository, and there is no visible app project/test target to run them.",None found,Yes - add Swift tests after restoring the app project.
sam-deo.4,Implement backend subprocess supervision and health in BackendManager,open,blocks:sam-0up.2; parent-child:sam-deo; blocks:sam-pjm.1,Backend startup and shutdown are reliable. | Crash detection triggers controlled restart policy. | Health status is surfaced to UI state and logs.,app/Samantha/*,Not found,No BackendManager implementation or subprocess supervision code is present in app/.,None found,Yes - implement backend process supervision.
sam-deo.5,Implement Python runtime bundling and app integration,open,blocks:sam-0up.5; parent-child:sam-deo; blocks:sam-deo.4,Bundled app runs on clean machine without local Python install. | Runtime path resolution is stable. | Packaging artifacts are reproducible.,app/; backend/; scripts/,Not found,No bundling/packaging implementation for embedding Python into the macOS app is present in the checked-in tree.,None found,Yes - define and implement the bundling strategy.
sam-deo.6,"Create release checklist for signing, notarization, and distribution",open,parent-child:sam-deo; blocks:sam-deo.5,Checklist covers every release gate. | Ownership and prerequisites are explicit. | Dry run can be executed before first public release.,docs/; scripts/,Not found,"No release checklist for signing, notarization, or distribution is checked in.",None found,Yes - add the missing release documentation.
sam-deo.7,Create observability and incident triage playbook,open,blocks:sam-0up.5; parent-child:sam-deo; blocks:sam-deo.2; blocks:sam-deo.3,Standard log fields and correlation IDs are defined. | Common failure scenarios have triage steps. | Recovery procedures are documented and tested.,docs/; backend/samantha/tools.py,Not found,There is no observability/incident playbook document in the repo; only some delegation logs exist in code.,None found,"Yes - document runtime signals, triage steps, and recovery procedures."
sam-deo.8,Perform full implementation and release-readiness audit,closed,parent-child:sam-deo,"Full repository implementation and quality review. Verify Beads completion against code, run static and end-to-end validation, apply safe low-risk fixes, and produce repo-review.md, beads-audit.csv, and e2e-results.md with evidence.",repo-review.md; beads-audit.csv; e2e-results.md,Verified complete,"Audit artifacts were created, the repository and Beads were reviewed, checks were run, safe fixes were applied, and follow-up issues were filed.",N/A,No
sam-deo.9,Audit follow-up: wire actual RealtimeRunner and RealtimeSession into backend runtime,closed,parent-child:sam-deo; discovered-from:sam-deo.8,"Audit found that create_voice_agent() only builds a RealtimeAgent and runner config dict. The runtime never instantiates a live RealtimeRunner/RealtimeSession or wires it into ws_server/session_manager, so closed realtime tasks are only partially implemented.",backend/samantha/agents.py; backend/samantha/main.py; backend/samantha/runtime.py; backend/samantha/session_manager.py; backend/samantha/ws_server.py,Verified complete,"A new runtime bridge now creates and manages the live realtime session, and startup smoke logs confirm `Realtime session connected` through the actual CLI entrypoint.",backend/tests/test_runtime.py; backend/tests/test_e2e.py; live samantha startup smoke,No
sam-e3x,create_voice_agent() calls register_tools() without passing config - tools use default safety settings instead of caller config,closed,None,"In agents.py:44, create_voice_agent() calls register_tools() without passing the Config object. This means tool safety settings (safe_mode, bash_allowlist, etc.) always use defaults rather than the loaded config. Fix: pass cfg through to register_tools(cfg) in create_voice_agent.",backend/samantha/agents.py; backend/tests/test_agents.py,Verified complete,"create_voice_agent passes cfg into register_tools, and tests assert tool config propagation.",backend/tests/test_agents.py::test_create_voice_agent_passes_config_to_tools,No
sam-igp,Tools and Safety Controls,closed,blocks:sam-739,Tool inputs are validated and bounded. | Destructive actions require confirmation by policy. | Tool failures return actionable error messages.,backend/samantha/tools.py; backend/samantha/runtime.py; backend/samantha/mcp_integration.py; backend/samantha/main.py,Partially complete,"Core backend tools exist and are well tested, and destructive actions now have an explicit backend approval path, but web_search is still free-form and MCP is not runtime-verified on macOS in this audit environment.",backend/tests/test_tools.py; backend/tests/test_runtime.py; backend/tests/test_mcp.py; pytest -q,Yes - verify MCP on macOS and formalize the web_search contract if required by product intent.
sam-igp.1,"Implement safe bash tool with allowlist, timeout, and sandbox policy",closed,blocks:sam-739.1; blocks:sam-739.3; parent-child:sam-igp,Disallowed commands are blocked with clear reason. | Allowed commands execute with bounded timeout. | Output and errors are captured consistently.,backend/samantha/tools.py,Verified complete,"safe_bash enforces dangerous-pattern blocking, allowlist behavior, timeout, and bounded output.",backend/tests/test_tools.py,No
sam-igp.2,Implement file_read with path normalization and boundary checks,closed,blocks:sam-739.1; blocks:sam-739.3; parent-child:sam-igp,Path traversal attempts are rejected. | Successful reads return exact file contents. | Error cases are typed and actionable.,backend/samantha/tools.py,Verified complete,"file_read normalizes paths, blocks outside-home reads in safe mode, rejects directories and oversized files, and returns actionable errors.",backend/tests/test_tools.py,No
sam-igp.3,Implement file_write with safety guards and protected path policy,closed,blocks:sam-739.1; blocks:sam-739.3; parent-child:sam-igp,Protected paths are blocked by policy. | Allowed writes create parents when permitted. | Write failures return specific diagnostics.,backend/samantha/tools.py,Verified complete,file_write enforces protected-path and sensitive-directory checks and creates parent directories safely.,backend/tests/test_tools.py,No
sam-igp.4,Implement web_search tool with normalized structured response,closed,blocks:sam-739.1; parent-child:sam-igp,Search response schema is stable. | Result snippets are concise and relevant. | Tool handles empty and failure responses safely.,backend/samantha/tools.py,Partially complete,"web_search works and passed live smoke tests, but it returns a free-form string rather than a stable normalized response schema.",backend/tests/test_tools.py; backend/tests/test_e2e.py::test_web_search_smoke; pytest -m e2e,Yes - define and return a stable structured payload if that contract still matters.
sam-igp.5,Integrate AppleScript MCP lifecycle and tool registration,closed,parent-child:sam-igp; blocks:sam-lfi.1,MCP server lifecycle is managed by backend startup/shutdown. | Tools are discoverable at runtime. | MCP failures degrade without crashing session.,backend/samantha/mcp_integration.py; backend/samantha/main.py; backend/samantha/agents.py,Partially complete,"MCP server creation, connect/cleanup, and agent wiring exist, but this audit ran on Linux so the AppleScript MCP path was only unit-tested with mocked macOS gating.",backend/tests/test_mcp.py,Yes - run live MCP verification on macOS with applescript-mcp installed.
sam-igp.6,Implement confirmation workflow for destructive operations,closed,parent-child:sam-igp; blocks:sam-igp.1; blocks:sam-igp.3; blocks:sam-igp.5,Destructive actions are detected before execution. | Confirmation flow can approve or reject action. | Policy override behavior is explicit and auditable.,backend/samantha/tools.py; backend/samantha/runtime.py; backend/samantha/ws_server.py,Verified complete,"Destructive tools still use `needs_approval`, and the runtime now exposes approve/reject websocket commands plus decision logging for an explicit auditable confirmation path.",backend/tests/test_tools.py; backend/tests/test_ws_server.py; backend/tests/test_runtime.py,Yes - wire the app-side approval UX when the Swift client exists.
sam-igp.7,Implement centralized tool error formatting and surfacing,closed,parent-child:sam-igp; blocks:sam-igp.1; blocks:sam-igp.2; blocks:sam-igp.3; blocks:sam-igp.4; blocks:sam-igp.5,User-visible errors are concise and helpful. | Debug logs retain root cause details. | Formatter is reused across all tools.,backend/samantha/tools.py,Verified complete,format_tool_error centralizes tool failure formatting and is exercised across tool tests.,backend/tests/test_tools.py,No
sam-lfi,Realtime Voice Session Core,closed,blocks:sam-739,Live realtime session boots reliably. | Audio/text events map cleanly to Samantha states. | Interruption behavior works for both automatic and manual paths.,backend/samantha/agents.py; backend/samantha/events.py; backend/samantha/interruption.py; backend/samantha/runtime.py; backend/samantha/session_manager.py; backend/samantha/main.py,Verified complete,"The backend now boots a live realtime session, maps live audio/tool/transcript events onto websocket state, and supports both automatic and manual interruption paths.",backend/tests/test_agents.py; backend/tests/test_events.py; backend/tests/test_interruption.py; backend/tests/test_runtime.py; live samantha startup smoke,No
sam-lfi.1,Implement RealtimeRunner and RealtimeSession bootstrap (gpt-realtime),closed,blocks:sam-739.1; blocks:sam-739.3; parent-child:sam-lfi,Session starts successfully with expected model. | Startup failure modes are handled explicitly. | Session object is reusable by ws server.,backend/samantha/agents.py; backend/samantha/main.py; backend/samantha/runtime.py,Verified complete,"The runtime now instantiates `RealtimeRunner` / `RealtimeSession`, waits for session readiness before `start_listening`, and reuses the live session through the websocket bridge.",backend/tests/test_agents.py; backend/tests/test_runtime.py; live samantha startup smoke,No
sam-lfi.2,Configure audio formats and turn detection defaults,closed,parent-child:sam-lfi; blocks:sam-lfi.1,Input/output format aligns with app audio pipeline. | turn_detection and interrupt_response settings are applied. | Config can be overridden safely for experiments.,backend/samantha/agents.py; backend/samantha/config.py; backend/samantha/runtime.py,Verified complete,"Runner config now defaults to `gpt-realtime`, includes live audio I/O plus explicit turn creation, and is used by the runtime when starting the realtime session.",backend/tests/test_agents.py; backend/tests/test_config.py; backend/tests/test_runtime.py,No
sam-lfi.3,Implement realtime event dispatcher and app-state mapping,closed,parent-child:sam-lfi; blocks:sam-lfi.1; blocks:sam-lfi.2,State transitions are deterministic. | Unknown events are safely logged and ignored. | Dispatcher outputs are consumable by ws bridge.,backend/samantha/events.py,Verified complete,EventDispatcher implements deterministic state mapping and message builders for state/tool/transcript/error events.,backend/tests/test_events.py; backend/tests/test_e2e.py::test_event_dispatcher_full_flow,No
sam-lfi.4,Implement transcript normalization for user and assistant turns,closed,parent-child:sam-lfi; blocks:sam-lfi.3,Partial/final transcript markers are preserved. | Role attribution is correct for user and assistant. | Transcript payloads are stable across event variants.,backend/samantha/events.py,Verified complete,"normalize_transcript preserves role/final semantics, trims blanks, and stabilizes IPC transcript payloads.",backend/tests/test_events.py,No
sam-lfi.5,Implement interruption handling (automatic and manual),closed,parent-child:sam-lfi; blocks:sam-lfi.2; blocks:sam-lfi.3,VAD interruption stops active response path. | Manual interrupt command cancels current response. | Follow-up user input starts a fresh turn without corruption.,backend/samantha/interruption.py; backend/samantha/events.py; backend/samantha/runtime.py; backend/samantha/ws_server.py,Verified complete,"Automatic speech-start events now trigger `clear_playback`, and manual interrupt now calls `session.interrupt()` on the live session while resetting state cleanly.",backend/tests/test_interruption.py; backend/tests/test_events.py; backend/tests/test_ws_server.py; backend/tests/test_runtime.py,No
sam-lfi.6,Implement realtime session recovery and reconnect strategy,closed,parent-child:sam-lfi; blocks:sam-lfi.3; blocks:sam-lfi.5,Connection loss triggers controlled recovery path. | Reconnect preserves required context or resets predictably. | Resource cleanup occurs on close and error.,backend/samantha/session_manager.py; backend/samantha/runtime.py; backend/samantha/main.py,Verified complete,"RealtimeRuntime now instantiates SessionManager for the live session path, so reconnect/backoff/health behavior is part of the actual backend entrypoint.",backend/tests/test_session_manager.py; backend/tests/test_runtime.py,No
sam-pjm,Swift App Core,closed,blocks:sam-739,Orb and state animations are functional. | Audio capture/playback meet required format. | Settings and API key storage are usable.,app/Samantha/*.swift; app/Samantha/Info.plist,Partially complete,"The Swift source implements orb/audio/settings/transcript pieces, but the repo has no checked-in Xcode project or Swift test target and cannot be built/verified in this Linux audit environment.",No Swift tests found,Yes - check in the app project and add build/test coverage.
sam-pjm.1,Build LSUIElement app shell and orb host window,closed,blocks:sam-739.2; parent-child:sam-pjm,"App launches as LSUIElement utility app. | Orb window behaves as expected (floating, draggable). | Lifecycle events are wired without crashes.",app/Samantha/SamanthaApp.swift; app/Samantha/OrbWindow.swift; app/Samantha/Info.plist,Partially complete,"LSUIElement and orb window source are present, but there is no Xcode project/workspace to verify a runnable app shell.",No Swift tests found,Yes - add the app project and verify launch behavior on macOS.
sam-pjm.2,Implement orb state visuals and animation transitions,closed,parent-child:sam-pjm; blocks:sam-pjm.1,All required visual states exist. | State transitions are smooth and reversible. | UI remains performant on laptop hardware.,app/Samantha/OrbView.swift,Partially complete,"All five visual states and animations are implemented in source, but runtime performance and transitions were not verifiable without a buildable app target.",No Swift tests found,Yes - add app build/test coverage and verify visuals on macOS.
sam-pjm.3,Implement global hotkey handling and user interaction loop,closed,parent-child:sam-pjm; blocks:sam-pjm.1,Hotkey toggles listening consistently. | Settings hotkey opens settings reliably. | Hotkey registration survives app relaunch.,app/Samantha/HotkeyManager.swift; app/Samantha/SamanthaApp.swift,Partially complete,"Global hotkey source and settings shortcut logic exist, but there is no checked-in project/dependency setup to verify KeyboardShortcuts integration at runtime.",No Swift tests found,Yes - verify hotkey behavior in a real app build.
sam-pjm.4,Implement AudioManager capture pipeline (24kHz PCM16 mono),closed,parent-child:sam-pjm; blocks:sam-pjm.1,Captured audio format matches backend expectations. | Capture starts/stops cleanly. | Buffering avoids dropouts under normal load.,app/Samantha/AudioManager.swift,Partially complete,"Audio capture pipeline source targets 24kHz PCM16 mono, but it was not build- or device-verified in this environment.",No Swift tests found,Yes - run audio capture validation on macOS hardware.
sam-pjm.5,Implement audio playback pipeline with immediate stop semantics,closed,parent-child:sam-pjm; blocks:sam-pjm.4,Streaming playback is smooth. | Stop command halts playback immediately. | Playback state is synchronized with UI state.,app/Samantha/AudioManager.swift,Partially complete,"Playback queuing and immediate-stop semantics are implemented in source, but no app-side tests or runtime verification are available.",No Swift tests found,Yes - add playback tests and validate interruption behavior on macOS.
sam-pjm.6,Implement settings UI and Keychain API key storage,closed,parent-child:sam-pjm; blocks:sam-pjm.1,API key is stored/retrieved securely. | Settings persist across launches. | Invalid settings are validated with clear feedback.,app/Samantha/SettingsView.swift; app/Samantha/KeychainHelper.swift,Partially complete,"Settings and Keychain storage source exist, but there is no buildable app/test harness to verify persistence and secure storage behavior end-to-end.",No Swift tests found,Yes - verify settings and Keychain flows in a runnable app.
